Datum;Uhrzeit;Bezeichnung;Intervall;V5Z;V5B;V11Z;V11B;V12Z;V12B;T35_sZ;T35_sB;T35_bZ;T35_bB;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B
01.02.2025;02:02;A173;1;1;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;02:01;A173;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;02:00;A173;1;2;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:59;A173;1;1;5;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:58;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:57;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:56;A173;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:55;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:54;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:53;A173;1;1;3;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
01.02.2025;01:52;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0
01.02.2025;01:51;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:50;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:49;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:48;A173;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:47;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:46;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:45;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:44;A173;1;0;0;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:43;A173;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:42;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:41;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:40;A173;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:39;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:38;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:37;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:36;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:35;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:34;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:33;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:32;A173;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:31;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:30;A173;1;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:29;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:28;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:27;A173;1;1;4;2;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:26;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:25;A173;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:24;A173;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:23;A173;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:22;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:21;A173;1;2;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:20;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:19;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:18;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:17;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:16;A173;1;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:15;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:14;A173;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:13;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:12;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:11;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:10;A173;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:09;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:08;A173;1;0;0;3;4;1;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:07;A173;1;1;16;0;0;1;9;0;0;0;0;1;2;1;2;1;2;0;0;0;0;0;0
01.02.2025;01:06;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:05;A173;1;2;6;3;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:04;A173;1;3;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:03;A173;1;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:02;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:01;A173;1;2;8;0;0;1;2;1;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2025;01:00;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
